tanggal,jumlah,Kluster
1.0,4,3
2.0,2,0
3.0,2,0
4.0,4,3
5.0,1,2
6.0,3,3
7.0,2,0
8.0,1,2
9.0,1,2
10.0,3,3
11.0,2,0
12.0,1,2
13.0,1,2
14.0,0,2
15.0,1,2
16.0,0,2
17.0,3,3
18.0,1,2
19.0,0,2
20.0,1,2
21.0,2,0
22.0,1,2
23.0,1,2
24.0,2,0
25.0,3,3
26.0,1,2
27.0,2,0
28.0,1,2
29.0,1,2
30.0,2,0
1.0,3,3
2.0,1,2
3.0,2,0
4.0,2,0
5.0,1,2
6.0,3,3
7.0,2,0
8.0,1,2
9.0,1,2
10.0,0,2
11.0,1,2
12.0,3,3
13.0,2,0
14.0,1,2
15.0,2,0
16.0,0,2
17.0,1,2
18.0,1,2
19.0,2,0
20.0,1,2
21.0,0,2
22.0,1,2
23.0,1,2
24.0,2,0
25.0,4,3
26.0,1,2
27.0,1,2
28.0,1,2
29.0,2,0
30.0,1,2
31.0,3,3
1.0,2,0
2.0,3,3
3.0,2,0
4.0,2,0
5.0,1,2
6.0,2,0
7.0,3,3
8.0,2,0
9.0,2,0
10.0,1,2
11.0,0,2
12.0,1,2
13.0,2,0
14.0,1,2
15.0,1,2
16.0,1,2
17.0,0,2
18.0,1,2
19.0,1,2
20.0,2,0
21.0,4,3
22.0,2,0
23.0,2,0
24.0,2,0
25.0,1,2
26.0,2,0
27.0,1,2
28.0,2,0
29.0,1,2
30.0,2,0
1.0,4,3
2.0,1,2
3.0,2,0
4.0,3,3
5.0,0,2
6.0,1,2
7.0,2,0
8.0,1,2
9.0,1,2
10.0,1,2
11.0,2,0
12.0,0,2
13.0,4,3
14.0,2,0
15.0,3,3
16.0,2,0
17.0,1,2
18.0,1,2
19.0,2,0
20.0,1,2
21.0,3,3
22.0,4,3
23.0,2,0
24.0,0,2
25.0,0,2
26.0,1,2
27.0,3,3
28.0,2,0
29.0,3,3
30.0,5,3
31.0,1,2
1.0,8,1
2.0,2,0
3.0,2,0
4.0,2,0
5.0,2,0
6.0,1,2
7.0,3,3
8.0,1,2
9.0,1,2
10.0,2,0
11.0,4,3
12.0,1,2
13.0,0,2
14.0,3,3
15.0,1,2
16.0,2,0
17.0,1,2
18.0,2,0
19.0,1,2
20.0,1,2
21.0,2,0
22.0,2,0
23.0,1,2
24.0,3,3
25.0,2,0
26.0,1,2
27.0,0,2
28.0,4,3
29.0,2,0
30.0,1,2
31.0,1,2
1.0,3,3
2.0,3,3
3.0,2,0
4.0,1,2
5.0,5,3
6.0,2,0
7.0,2,0
8.0,3,3
9.0,2,0
10.0,2,0
11.0,1,2
12.0,3,3
13.0,2,0
14.0,2,0
15.0,0,2
16.0,1,2
17.0,1,2
18.0,3,3
19.0,2,0
20.0,4,3
21.0,2,0
22.0,2,0
23.0,2,0
24.0,3,3
25.0,1,2
26.0,1,2
27.0,2,0
28.0,2,0
1.0,5,3
2.0,2,0
3.0,3,3
4.0,2,0
5.0,2,0
6.0,6,1
7.0,1,2
8.0,2,0
9.0,2,0
10.0,2,0
11.0,2,0
12.0,3,3
13.0,2,0
14.0,1,2
15.0,1,2
16.0,3,3
17.0,1,2
18.0,1,2
19.0,2,0
20.0,0,2
21.0,1,2
22.0,1,2
23.0,2,0
24.0,2,0
25.0,1,2
26.0,1,2
27.0,3,3
28.0,3,3
29.0,1,2
30.0,0,2
31.0,1,2
1.0,2,0
2.0,1,2
3.0,2,0
4.0,2,0
5.0,3,3
6.0,0,2
7.0,1,2
8.0,1,2
9.0,3,3
10.0,0,2
11.0,0,2
12.0,1,2
13.0,2,0
14.0,2,0
15.0,3,3
16.0,1,2
17.0,2,0
18.0,2,0
19.0,1,2
20.0,1,2
21.0,2,0
22.0,0,2
23.0,0,2
24.0,1,2
25.0,1,2
26.0,2,0
27.0,0,2
28.0,0,2
29.0,3,3
30.0,4,3
1.0,0,2
2.0,0,2
3.0,2,0
4.0,3,3
5.0,3,3
6.0,2,0
7.0,2,0
8.0,0,2
9.0,2,0
10.0,2,0
11.0,2,0
12.0,0,2
13.0,2,0
14.0,1,2
15.0,1,2
16.0,1,2
17.0,3,3
18.0,0,2
19.0,3,3
20.0,2,0
21.0,3,3
22.0,3,3
23.0,0,2
24.0,0,2
25.0,0,2
26.0,2,0
27.0,2,0
28.0,2,0
29.0,1,2
30.0,2,0
31.0,3,3
1.0,5,3
2.0,2,0
3.0,3,3
4.0,3,3
5.0,2,0
6.0,1,2
7.0,3,3
8.0,0,2
9.0,1,2
10.0,3,3
11.0,2,0
12.0,2,0
13.0,0,2
14.0,0,2
15.0,3,3
16.0,0,2
17.0,2,0
18.0,3,3
19.0,3,3
20.0,1,2
21.0,2,0
22.0,0,2
23.0,0,2
24.0,3,3
25.0,2,0
26.0,2,0
27.0,1,2
28.0,1,2
29.0,2,0
30.0,2,0
1.0,3,3
2.0,3,3
3.0,2,0
4.0,1,2
5.0,0,2
6.0,0,2
7.0,3,3
8.0,2,0
9.0,2,0
10.0,3,3
11.0,3,3
12.0,3,3
13.0,2,0
14.0,1,2
15.0,2,0
16.0,2,0
17.0,2,0
18.0,0,2
19.0,0,2
20.0,2,0
21.0,2,0
22.0,3,3
23.0,0,2
24.0,3,3
25.0,4,3
26.0,2,0
27.0,1,2
28.0,2,0
29.0,2,0
30.0,0,2
31.0,2,0
1.0,3,3
2.0,1,2
3.0,3,3
4.0,3,3
5.0,1,2
6.0,2,0
7.0,2,0
8.0,3,3
9.0,2,0
10.0,0,2
11.0,1,2
12.0,5,3
13.0,0,2
14.0,2,0
15.0,2,0
16.0,3,3
17.0,2,0
18.0,3,3
19.0,1,2
20.0,1,2
21.0,0,2
22.0,2,0
23.0,2,0
24.0,1,2
25.0,0,2
26.0,0,2
27.0,2,0
28.0,1,2
29.0,1,2
30.0,1,2
31.0,3,3
